UA     riqueza abundancia        pH         Ca       Mg      H_Al      CTC Saturacao       MO Densidade Ambiente
42 11.944305  101.36669 16.631741  15.114519 3.785804  2.712844 28.78204  92.47623 6.904479 0.8765223     Mata
43 12.587475   97.35487 16.798074  12.893825 4.427929  3.705658 27.00371  92.98636 6.095431 0.7818989     Mata
44 12.669424   85.33734 16.718162  14.522701 3.687254  3.595469 24.98792  91.49301 6.352333 0.7729101     Mata
45 12.080031   95.35339 16.666145  15.105678 3.723370  3.155542 27.85416  92.72063 6.324972 0.7964294     Mata
46 11.013019   85.48798 16.642984  15.493680 3.911861  4.012432 29.17937  92.70323 6.605381 0.8294500     Mata
47 10.923973  128.79420 16.482845  16.577420 3.441136  3.122394 28.38340  93.19492 6.847409 0.7422295     Mata
48 12.065868   87.62426 16.541207  16.616629 3.458960  3.664598 26.46816  93.03353 5.819243 0.7175721     Mata
49 11.187858   93.61663 16.485465  13.250734 3.453860  3.630787 27.30516  94.11708 6.910227 0.8183655     Mata
50 13.872956   56.61889 16.625877  15.271683 3.404866  4.246440 27.43856  94.00484 7.033446 0.8523862     Mata
51  9.500071   83.14012 16.519287  13.557627 3.477682  3.613591 26.54855  92.87163 6.580740 0.8032506     Mata
52 12.076630   86.64438 16.620307  15.509570 3.368506  3.414690 26.00478  92.48605 5.662679 0.8139709     Mata
53 11.639647  100.45542 16.622220  13.847510 3.254284  3.413447 25.96660  92.95030 6.000239 0.7270254     Mata
54 12.591454  109.04794 16.529185  15.269346 3.990605  3.632598 26.90257  93.73474 6.170389 0.8190776     Mata
55 10.923408  128.23553 16.431402  14.407904 3.373012  3.312088 26.84268  94.40084 5.979115 0.7723408     Mata
56 11.055307  105.69034 16.746182  13.947278 4.257785  3.956115 27.52149  91.91975 6.239231 0.8836030     Mata
57 11.463758   62.23195 16.498777  16.350252 3.672805  3.364290 27.25608  92.84972 6.050773 0.7652664     Mata
58 13.065021   91.73324 16.591573  13.169507 3.834804  3.558119 26.32281  93.09374 6.012753 0.7524669     Mata
59 11.374221   73.25935 16.678399  16.251447 3.546785  3.843490 29.32790  93.90545 6.630871 0.7970861     Mata
60 10.290377   67.43434 16.585667  15.668171 3.889292  3.597676 28.37299  94.27444 6.066371 0.8158620     Mata



